<TICKER> <PER> <DATE> <TIME> <CLOSE>
MTSS D 20200610 000000 326.8500000
MTSS D 20200611 000000 322.8000000
MTSS D 20200615 000000 323.8000000
MTSS D 20200616 000000 328.0000000
MTSS D 20200617 000000 325.7500000
MTSS D 20200618 000000 326.0500000
MTSS D 20200619 000000 327.3500000
MTSS D 20200622 000000 325.0000000
MTSS D 20200623 000000 324.7000000
MTSS D 20200625 000000 325.4500000
MTSS D 20200626 000000 324.3000000
MTSS D 20200629 000000 325.9500000
MTSS D 20200630 000000 330.4500000
MTSS D 20200702 000000 330.8500000
MTSS D 20200703 000000 334.6000000
MTSS D 20200706 000000 338.1000000
MTSS D 20200707 000000 336.6000000
MTSS D 20200708 000000 321.1000000
MTSS D 20200709 000000 315.0000000
MTSS D 20200710 000000 314.9500000
MTSS D 20200713 000000 315.7000000
MTSS D 20200714 000000 317.0000000
MTSS D 20200715 000000 319.7000000
MTSS D 20200716 000000 321.0000000
MTSS D 20200717 000000 321.5500000
MTSS D 20200720 000000 322.7500000
MTSS D 20200721 000000 322.2000000
MTSS D 20200722 000000 323.8500000
MTSS D 20200723 000000 321.9500000
MTSS D 20200724 000000 321.0000000
MTSS D 20200727 000000 323.2500000
MTSS D 20200728 000000 326.7000000
MTSS D 20200729 000000 329.8000000
MTSS D 20200730 000000 325.6000000
MTSS D 20200731 000000 327.5500000
MTSS D 20200803 000000 333.3000000
MTSS D 20200804 000000 335.7000000
MTSS D 20200805 000000 333.9500000
MTSS D 20200806 000000 332.7500000
MTSS D 20200807 000000 329.7500000
MTSS D 20200810 000000 329.1500000
MTSS D 20200811 000000 329.5500000
MTSS D 20200812 000000 337.5000000
MTSS D 20200813 000000 337.9000000
MTSS D 20200814 000000 340.2000000
MTSS D 20200817 000000 341.9500000
MTSS D 20200818 000000 341.9000000
MTSS D 20200819 000000 342.0000000
MTSS D 20200820 000000 341.9000000
MTSS D 20200821 000000 341.5000000
MTSS D 20200824 000000 344.2500000
MTSS D 20200825 000000 344.7500000
MTSS D 20200826 000000 346.6500000
MTSS D 20200827 000000 347.5500000
