<TICKER> <PER> <DATE> <TIME> <CLOSE>
LNZL D 20200611 000000 8580.0000000
LNZL D 20200615 000000 8400.0000000
LNZL D 20200616 000000 8440.0000000
LNZL D 20200617 000000 8540.0000000
LNZL D 20200618 000000 8570.0000000
LNZL D 20200619 000000 8540.0000000
LNZL D 20200622 000000 8550.0000000
LNZL D 20200623 000000 8540.0000000
LNZL D 20200625 000000 8540.0000000
LNZL D 20200626 000000 8510.0000000
LNZL D 20200629 000000 8550.0000000
LNZL D 20200630 000000 8550.0000000
LNZL D 20200702 000000 8540.0000000
LNZL D 20200703 000000 8740.0000000
LNZL D 20200706 000000 8750.0000000
LNZL D 20200707 000000 9100.0000000
LNZL D 20200708 000000 9550.0000000
LNZL D 20200709 000000 11450.0000000
LNZL D 20200710 000000 12160.0000000
LNZL D 20200713 000000 11660.0000000
LNZL D 20200714 000000 11100.0000000
LNZL D 20200715 000000 12120.0000000
LNZL D 20200716 000000 11810.0000000
LNZL D 20200717 000000 11990.0000000
LNZL D 20200720 000000 11970.0000000
LNZL D 20200721 000000 11900.0000000
LNZL D 20200722 000000 12000.0000000
LNZL D 20200723 000000 12200.0000000
LNZL D 20200724 000000 12540.0000000
LNZL D 20200727 000000 16550.0000000
LNZL D 20200728 000000 18750.0000000
LNZL D 20200729 000000 18300.0000000
LNZL D 20200730 000000 17290.0000000
LNZL D 20200731 000000 18600.0000000
LNZL D 20200803 000000 18480.0000000
LNZL D 20200804 000000 18160.0000000
LNZL D 20200805 000000 18670.0000000
LNZL D 20200806 000000 18750.0000000
LNZL D 20200807 000000 18200.0000000
LNZL D 20200810 000000 18130.0000000
LNZL D 20200811 000000 16930.0000000
LNZL D 20200812 000000 17140.0000000
LNZL D 20200813 000000 17570.0000000
LNZL D 20200814 000000 17790.0000000
LNZL D 20200817 000000 18580.0000000
LNZL D 20200818 000000 18460.0000000
LNZL D 20200819 000000 18440.0000000
LNZL D 20200820 000000 18320.0000000
LNZL D 20200821 000000 18320.0000000
LNZL D 20200824 000000 18360.0000000
LNZL D 20200825 000000 18290.0000000
LNZL D 20200826 000000 18140.0000000
LNZL D 20200827 000000 18000.0000000
